ÐòºÅ,gender,age,educationalbacground,judge,IS1,IS2,SM1(WEIBO),SM2(REDBOOK),SM3(TIKTOK),SM4(KAUISHOU),SM5(WECHAT),Print Media,Mass Media,Personal Network,LLM,IL1,TIL1,IL2,TIL2,IL3,TIL3,IA1,TIA1,IA2,TIA2,IA3,TIA3,ID1,TID1,ID2,TID2,ID3,TID3
1,2,2,4,1,4,4,4,3,3,1,4,1,2,2,2,3,3,3,4,4,2,3,3,4,3,4,4,2,4,2,4,2,4
2,2,2,4,1,5,5,2,4,3,1,3,3,1,2,2,5,4,4,4,5,4,2,4,2,4,2,4,2,3,1,5,4,2
3,2,2,4,1,5,5,3,2,4,1,4,2,1,3,2,2,1,2,1,5,5,5,5,5,3,5,5,5,5,5,4,5,5
4,2,4,2,1,4,4,5,4,6,6,3,3,2,5,4,5,4,2,4,3,5,4,5,4,5,5,4,4,4,5,5,2,3
5,2,4,2,1,4,4,3,6,6,6,6,2,2,2,5,2,4,4,3,5,5,4,2,5,4,5,4,5,4,4,3,4,4
6,1,4,2,1,2,5,6,5,6,2,5,4,2,5,5,4,3,4,4,5,4,4,2,5,4,3,4,5,2,5,4,3,2
7,2,3,3,1,5,4,5,4,6,4,4,2,3,5,5,4,4,3,5,4,5,5,4,2,5,4,3,5,5,5,5,4,4
8,1,6,1,1,4,5,6,4,5,4,4,4,5,4,6,2,5,5,5,4,3,4,5,4,4,4,5,5,4,5,3,5,5
9,2,2,1,1,2,2,6,5,6,5,6,3,2,3,5,4,4,5,2,5,2,4,4,5,4,5,4,4,5,4,3,3,4
10,2,2,3,1,4,5,3,5,6,4,3,2,2,3,5,3,4,4,5,3,4,5,4,5,5,4,3,3,3,5,3,5,4
11,1,4,3,1,4,3,3,4,3,4,2,4,2,3,5,5,4,4,5,3,3,2,4,4,2,5,4,4,5,5,5,5,4
12,2,3,3,1,2,5,5,6,5,5,4,5,4,5,5,5,5,5,5,5,3,5,4,4,4,4,5,3,3,4,4,5,4
13,1,5,2,1,3,4,5,5,6,2,4,4,4,5,5,4,4,4,4,4,4,3,5,4,4,4,4,4,4,4,4,2,2
14,2,2,1,1,3,5,5,2,6,4,4,1,2,4,5,5,4,4,5,4,4,3,5,5,4,4,4,2,4,5,4,4,4
15,1,4,3,1,5,4,5,4,5,6,5,2,2,5,5,5,4,5,4,5,5,3,5,5,4,4,5,4,4,4,4,4,4
16,1,3,3,1,4,4,5,6,6,6,5,4,4,5,6,5,3,5,3,4,4,5,4,5,2,4,5,4,5,4,4,5,4
17,1,5,4,1,4,4,6,4,5,4,3,1,2,3,5,4,5,5,5,3,4,4,4,4,4,4,5,4,4,5,2,5,5
18,1,4,3,1,4,5,5,4,3,4,3,4,1,6,5,4,4,5,4,5,4,4,4,5,4,5,5,4,4,4,4,2,4
19,2,3,3,1,5,5,4,3,6,6,5,4,2,6,6,2,4,4,5,5,5,5,5,5,4,3,5,4,2,4,5,4,4
20,2,6,1,1,3,4,4,5,6,5,4,1,2,5,6,5,5,5,4,2,4,2,5,4,4,4,4,5,4,5,4,5,4
21,1,2,2,1,5,4,5,4,2,6,4,2,2,3,5,4,3,4,5,5,5,5,5,3,5,5,2,5,4,5,5,4,4
22,1,5,4,1,4,4,5,4,3,4,5,3,2,6,5,4,3,3,5,3,5,5,4,3,4,5,5,4,5,4,4,2,4
23,1,4,2,1,4,4,3,4,6,3,3,3,2,5,5,4,3,2,5,5,4,3,5,2,2,3,4,4,5,5,4,4,5
24,1,4,1,1,5,5,6,4,5,6,4,1,2,4,6,4,5,4,5,5,4,2,5,2,4,5,3,5,4,4,4,3,2
25,2,3,1,1,4,4,4,5,6,3,5,3,3,6,4,5,5,4,5,3,4,3,5,2,4,4,4,5,2,3,4,5,4
26,1,6,3,1,4,5,6,6,6,5,3,2,2,6,2,5,4,5,4,5,3,5,4,4,4,4,4,3,5,4,5,2,5
27,1,3,1,1,4,5,3,4,6,6,5,2,5,4,6,5,4,5,5,5,5,2,5,3,5,4,3,5,4,5,5,4,5
28,2,6,2,1,5,4,4,4,6,6,5,2,3,4,5,4,4,4,5,5,4,4,3,4,4,5,4,4,2,5,4,5,4
29,2,4,2,1,2,4,5,2,5,4,3,1,2,5,5,5,4,4,5,5,3,4,5,5,4,4,3,5,5,5,4,2,2
30,2,4,2,1,5,3,3,5,2,4,2,1,2,5,2,4,4,5,3,4,4,4,4,5,3,5,4,4,5,4,2,5,4
31,2,4,4,1,4,3,6,4,4,4,4,5,2,5,5,3,4,5,5,4,5,5,5,4,4,4,4,4,5,4,4,4,2
32,1,6,3,1,4,4,6,3,6,5,5,3,2,6,6,3,3,4,4,4,5,5,5,4,3,4,4,4,5,3,5,5,4
33,1,4,3,1,4,5,5,6,3,4,5,2,2,5,6,5,4,5,4,5,4,5,5,5,5,4,4,4,4,3,3,5,2
34,2,4,2,1,4,4,6,4,6,5,6,2,5,5,5,4,4,3,5,5,3,5,4,4,4,5,3,2,5,4,4,4,3
35,1,2,3,1,5,2,3,6,6,4,4,3,4,4,3,5,4,4,5,3,4,5,3,5,4,4,5,3,5,3,4,4,4
36,1,3,2,1,4,2,5,5,6,3,6,2,2,5,6,5,4,4,4,5,4,5,5,4,3,5,4,5,2,3,5,5,5
37,2,4,3,1,2,4,5,5,2,4,5,5,5,4,4,3,4,5,5,5,5,3,2,5,4,4,4,5,2,4,5,3,5
38,2,2,2,1,4,5,5,4,4,4,4,2,2,5,6,4,4,3,4,5,4,4,3,4,3,4,4,4,5,4,4,5,5
39,2,3,3,1,4,3,5,4,6,4,2,3,2,5,5,4,3,5,5,5,4,5,5,3,4,4,4,5,5,4,5,3,4
40,2,2,2,1,5,5,6,6,3,2,4,3,5,5,5,5,2,4,4,4,5,5,4,4,4,4,4,3,5,4,4,5,4
41,1,5,3,1,4,3,6,6,5,3,4,1,2,3,5,3,4,5,5,5,4,4,5,5,4,5,4,5,5,4,4,3,5
42,2,3,4,1,4,4,6,4,3,5,2,2,2,3,4,5,4,4,4,4,4,4,5,4,4,3,4,4,3,5,4,5,5
43,2,6,3,1,4,5,4,4,6,5,6,1,2,5,5,5,4,4,3,4,5,5,4,3,4,4,4,4,5,4,4,5,5
44,2,5,1,1,4,5,6,4,6,4,5,4,3,5,5,3,4,5,5,5,3,4,5,4,5,5,4,5,4,4,5,5,4
45,2,4,2,1,5,4,5,3,2,5,5,2,2,5,5,5,2,5,4,5,3,4,4,4,4,4,3,2,5,5,5,4,4
46,2,4,3,1,4,4,4,5,4,4,6,2,2,6,2,4,3,3,4,5,5,4,4,5,5,2,5,2,5,5,4,4,2
47,2,3,2,1,4,3,5,4,6,5,5,4,3,5,3,4,4,5,4,5,4,4,4,4,4,5,4,5,4,4,4,4,4
48,2,4,2,1,4,4,4,5,4,4,3,2,1,5,6,5,4,5,4,5,5,4,5,4,4,4,4,5,4,5,4,4,5
49,1,2,3,1,3,3,5,4,5,5,5,5,2,5,6,5,5,4,3,4,5,4,3,4,5,4,2,3,5,3,2,4,4
50,2,2,2,1,4,2,5,4,5,5,5,3,4,3,5,4,2,5,5,3,2,4,5,2,5,5,4,4,4,3,4,3,2
51,2,2,3,1,4,5,6,3,5,4,6,1,2,4,5,2,5,5,4,5,4,4,4,5,4,5,3,4,4,5,5,5,4
52,1,4,3,1,4,5,5,4,4,5,5,2,2,4,5,5,4,5,5,5,4,4,2,5,4,4,4,4,4,4,2,5,4
53,2,3,5,1,5,4,6,3,4,3,6,1,3,5,4,3,4,5,5,4,5,4,4,5,4,4,4,3,4,5,5,5,4
54,1,3,3,1,4,5,5,4,5,4,6,4,5,5,6,4,5,3,5,4,4,5,4,5,2,5,3,5,3,5,4,5,4
55,1,6,3,1,5,4,6,2,5,5,4,1,2,5,5,3,4,4,4,5,4,4,4,4,4,4,3,5,5,5,5,3,5
56,1,2,1,1,4,5,2,3,5,4,6,1,4,3,6,4,4,2,5,3,4,5,4,2,4,4,4,4,5,4,2,5,4
57,2,6,2,1,3,5,4,6,4,4,3,4,2,5,6,4,4,5,4,4,5,4,2,4,4,4,4,3,4,5,4,4,3
58,1,4,4,1,5,4,5,5,2,3,5,4,2,5,6,5,3,4,5,5,4,3,5,4,5,5,4,5,5,4,4,4,4
59,2,4,3,1,4,5,6,3,6,5,5,4,3,5,4,5,2,5,4,2,3,4,5,5,5,5,5,4,5,5,4,5,4
60,2,3,4,1,4,4,5,4,5,5,5,3,2,4,5,5,5,3,5,5,3,4,4,4,4,4,4,4,5,5,4,4,5
61,1,3,1,1,3,5,5,2,4,4,4,5,2,4,5,4,4,5,4,4,5,4,5,4,2,3,5,4,4,4,4,5,3
